          (   5,    4) (   5,    4) (   4,    4) (   5,    4) (   4,    4) (   3,    3) (   6,    6) (   4,    3) (   3,    3) (   3,    3)
          (   5,    5) (   4,    4) (   3,    3) (   4,    4) (   4,    4) (   2,    2) (   3,    3) (   3,    3) (   2,    2) (   4,    3)
          (   4,    4) (   4,    4) (   3,    3) (   4,    4) (   3,    2) (   3,    3) (   5,    5) (   2,    1) (   4,    4) (   5,    5)
          (   2,    2) (   4,    4) (   4,    4) (   2,    2) (   4,    3) (   5,    5) (   5,    5) (   6,    6) (   4,    4) (   3,    3)
          (   6,    6) (   5,    5) (   4,    4) (   5,    5) (   3,    3) (   3,    3) (   2,    2) (   4,    3) (   2,    1) (   2,    1)
          (   4,    4) (   4,    4) (   2,    2) (   5,    5) (   3,    2) (   5,    5) (   2,    2) (   2,    2) (   2,    2) (   3,    3)
          (   5,    5) (   4,    4) (   2,    2) (   4,    4) (   5,    5) (   3,    2) (   4,    4) (   4,    4) (   4,    4) (   3,    3)
          (   4,    4) (   4,    4) (   5,    4) (   4,    4) (   5,    5) (   4,    4) (   4,    4) (   3,    3) (   4,    4) (   4,    4)
          (   3,    3) (   3,    2) (   3,    3) (   3,    3) (   3,    3) (   5,    5) (   5,    4) (   4,    4) (   4,    4) (   8,    7)
          (   6,    6) (   5,    5) (   4,    4) (   3,    2) (   4,    4) (   4,    4) (   4,    4) (   4,    4) (   5,    5) (   3,    3)
          (   4,    4) (   3,    3) (   6,    6) (   5,    4) (   4,    3) (   2,    2) (   4,    4) (   5,    4) (   2,    2) (   4,    4)
          (   3,    3) (   5,    5) (   6,    6) (   4,    4) (   3,    2) (   3,    3) (   3,    3) (   4,    3) (   3,    3) (   4,    3)
          (   3,    2) (   2,    2) (   4,    4) (   5,    5) (   4,    4) (   4,    4) (   2,    2) (   4,    3) (   2,    2) (   3,    2)
          (   6,    6) (   4,    4) (   4,    4) (   4,    4) (   3,    3) (   5,    4) (   6,    6) (   4,    3) (   3,    3) (   5,    4)
          (   4,    3) (   3,    2) (   3,    3) (   4,    3) (   8,    8) (   6,    5) (   4,    4) (   4,    4) (   4,    4) (   4,    4)
          (   4,    4) (   4,    4) (   3,    2) (   3,    3) (   7,    7) (   4,    4) (   4,    3) (   6,    6) (   2,    2) (   4,    4)
          (   4,    3) (   3,    2) (   5,    5) (   2,    2) (   2,    2) (   3,    2) (   3,    3) (   2,    2) (   5,    5) (   4,    4)
          (   2,    2) (   6,    5) (   3,    3) (   5,    5) (   3,    3) (   2,    2) (   4,    3) (   4,    4) (   3,    2) (   5,    5)
          (   3,    2) (   4,    4) (   5,    5) (   3,    3) (   3,    3) (   5,    4) (   2,    2) (   4,    4) (   5,    5) (   4,    4)
          (   3,    3) (   2,    2) (   4,    3) (   5,    4) (   4,    4) (   4,    4) (   3,    2) (   5,    5) (   5,    4) (   3,    2)
          (   4,    4) (   4,    3) (   4,    4) (   7,    7) (   6,    6) (   3,    2) (   4,    4) (   3,    3) (   4,    4) (   4,    4)
          (   5,    5) (   3,    3) (   4,    4) (   3,    3) (   3,    3) (   3,    2) (   2,    2) (   4,    4) (   5,    5) (   4,    3)
          (   2,    2) (   3,    2) (   5,    4) (   5,    5) (   3,    2) (   5,    5) (   5,    5) (   2,    2) (   5,    5) (   3,    3)
          (   2,    1) (   2,    1) (   3,    3) (   7,    7) (   3,    3) (   6,    6) (   3,    2) (   2,    2) (   4,    4) (   4,    4)
          (   3,    3) (   3,    3) (   5,    5) (   4,    4) (   3,    3) (   5,    4) (   5,    5) (   3,    3) (   4,    4) (   5,    5)
          (   3,    3) (   5,    5) (   2,    2) (   3,    3) (   2,    2) (   2,    2) (   4,    3) (   3,    2) (   4,    4) (   4,    4)
          (   2,    2) (   4,    4) (   4,    3) (   3,    2) (   5,    5) (   4,    4) (   4,    3) (   5,    5) (   3,    3) (   2,    2)
          (   5,    5) (   3,    2) (   5,    4) (   3,    3) (   3,    3) (   3,    3) (   4,    4) (   6,    6) (   3,    2) (   3,    2)
          (   3,    3) (   3,    3) (   6,    6) (   5,    4) (   4,    4) (   7,    7) (   3,    3) (   4,    3) (   4,    4) (   5,    4)
          (   3,    3) (   2,    2) (   2,    2) (   3,    3) (   2,    2) (   6,    6) (   3,    3) (   5,    5) (   4,    3) (   3,    2)
          (   2,    2) (   3,    3) (   3,    3) (   4,    4) (   4,    4) (   6,    6) (   4,    3) (   4,    4) (   4,    4) (   2,    2)
         
node   1 sent_total   2648  recv_total   2496

node   2  (   1,    0) (   0,    0) (   2,    2) (   2,    1) (   2,    1) (   4,    3) (   5,    5) (   2,    2) (   5,    5) (   3,    3)
          (   5,    5) (   3,    3) (   3,    3) (   5,    5) (   5,    5) (   4,    4) (   6,    6) (   3,    3) (   3,    3) (   3,    3)
          (   4,    4) (   4,    4) (   4,    4) (   6,    6) (   5,    5) (   4,    4) (   5,    5) (   4,    4) (   3,    3) (   4,    4)
          (   5,    5) (   4,    4) (   5,    5) (   6,    6) (   4,    4) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   2,    2) (   4,    4) (   7,    7) (   4,    4) (   4,    4) (   3,    3) (   4,    4) (   5,    5) (   5,    5) (   2,    2)
          (   5,    5) (   3,    3) (   4,    4) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   2,    2) (   2,    2)
          (   5,    5) (   4,    4) (   4,    4) (   5,    5) (   5,    5) (   3,    3) (   4,    4) (   4,    4) (   5,    5) (   3,    3)
          (   6,    6) (   4,    4) (   5,    5) (   4,    4) (   2,    2) (   2,    2) (   4,    4) (   4,    4) (   3,    3) (   5,    5)
          (   5,    5) (   6,    6) (   3,    3) (   5,    5) (   4,    4) (   4,    4) (   3,    3) (   3,    3) (   4,    4) (   2,    2)
          (   3,    3) (   5,    5) (   5,    5) (   4,    4) (   6,    6) (   5,    5) (   4,    4) (   7,    7) (   3,    3) (   3,    3)
          (   4,    4) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
         
node   2 sent_total    388  recv_total    384

node   3  (   1,    0) (   0,    0) (   2,    2) (   1,    0) (   3,    2) (   2,    1) (   2,    2) (   6,    6) (   5,    5) (   5,    5)
          (   4,    4) (   5,    5) (   3,    3) (   2,    2) (   7,    7) (   2,    2) (   5,    5) (   4,    4) (   5,    5) (   4,    4)
          (   3,    3) (   3,    3) (   4,    4) (   3,    3) (   4,    4) (   5,    5) (   5,    5) (   5,    5) (   4,    4) (   2,    2)
          (   4,    4) (   4,    4) (   5,    5) (   3,    3) (   4,    4) (   3,    3) (   3,    3) (   3,    3) (   4,    4) (   3,    3)
          (   4,    4) (   5,    5) (   5,    5) (   4,    4) (   6,    6) (   8,    8) (   4,    4) (   5,    5) (   4,    4) (   6,    6)
          (   3,    3) (   7,    7) (   4,    4) (   5,    5) (   5,    5) (   3,    3) (   4,    4) (   3,    3) (   6,    6) (   6,    6)
          (   4,    4) (   3,    3) (   3,    3) (   5,    5) (   3,    3) (   7,    7) (   4,    4) (   4,    4) (   2,    2) (   5,    5)
          (   5,    5) (   3,    3) (   6,    6) (   2,    2) (   4,    4) (   7,    7) (   5,    5) (   6,    6) (   4,    4) (   5,    5)
          (   5,    5) (   4,    4) (   5,    5) (   4,    4) (   4,    4) (   4,    4) (   5,    5) (   4,    4) (   4,    4) (   2,    2)
          (   3,    3) (   5,    5) (   4,    4) (   3,    3) (   5,    5) (   3,    3) (   3,    3) (   2,    2) (   5,    5) (   5,    5)
          (   4,    4) (   3,    3) (   2,    2) (   4,    4) (   3,    2) (   3,    3) (   3,    3) (   5,    5) (   4,    4) (   4,    4)
          (   6,    6) (   2,    2) (   4,    4) (   5,    5) (   5,    5) (   3,    3) (   3,    2) (   5,    5) (   3,    3) (   3,    2)
          (   3,    3) (   5,    4) (   4,    4) (   2,    1) (   4,    4) (   6,    6) (   4,    4) (   4,    4) (   4,    4) (   5,    5)
          (   5,    5) (   3,    2) (   3,    3) (   3,    2) (   3,    3) (   4,    4) (   4,    3) (   5,    5) (   4,    3) (   3,    3)
          (   6,    5) (   2,    1) (   2,    2) (   3,    2) (   2,    2) (   2,    2) (   5,    4) (   4,    4) (   4,    3) (   3,    3)
          (   4,    4) (   2,    2) (   3,    3) (   2,    2) (   4,    4) (   3,    3) (   5,    5) (   4,    4) (   3,    3) (   5,    5)
          (   3,    3) (   3,    2) (   3,    3) (   3,    2) (   3,    3) (   3,    3) (   2,    2) (   5,    4) (   3,    3) (   3,    3)
          (   4,    4) (   5,    4) (   3,    2) (   4,    4) (   2,    2) (   3,    3) (   7,    7) (   4,    3) (   4,    4) (   3,    3)
          (   4,    4) (   3,    3) (   3,    3) (   4,    4) (   5,    5) (   4,    4) (   4,    4) (   4,    4) (   4,    4) (   4,    3)
          (   3,    2) (   3,    2) (   5,    4) (   2,    2) (   2,    2) (   5,    4) (   6,    6) (   3,    3) (   5,    5) (   3,    3)
          (   4,    3) (   5,    5) (   3,    3) (   2,    2) (   4,    4) (   3,    3) (   6,    6) (   3,    3) (   4,    4) (   5,    5)
          (   2,    2) (   4,    4) (   5,    5) (   6,    6) (   4,    4) (   5,    5) (   2,    1) (   5,    5) (   3,    3) (   4,    4)
          (   3,    3) (   3,    2) (   3,    3) (   2,    2) (   3,    3) (   4,    4) (   4,    4) (   4,    4) (   3,    3) (   4,    4)
          (   4,    3) (   4,    4) (   4,    4) (   2,    2) (   2,    2) (   4,    4) (   4,    4) (   5,    5) (   2,    2) (   2,    2)
          (   3,    2) (   5,    4) (   4,    4) (   4,    4) (   3,    3) (   3,    3) (   5,    5) (   4,    4) (   3,    3) (   3,    3)
          (   3,    2) (   5,    5) (   2,    2) (   4,    4) (   2,    2) (   4,    4) (   5,    4) (   4,    4) (   4,    4) (   4,    3)
          (   2,    2) (   5,    5) (   3,    3) (   3,    3) (   5,    5) (   4,    4) (   5,    5) (   4,    4) (   5,    5) (   4,    4)
          (   4,    4) (   5,    5) (   4,    4) (   3,    3) (   3,    2) (   3,    3) (   4,    4) (   5,    5) (   5,    5) (   6,    6)
          (   3,    2) (   2,    2) (   5,    4) (   3,    3) (   3,    2) (   4,    4) (   5,    5) (   4,    4) (   4,    4) (   4,    4)
          (   4,    4) (   4,    4) (   4,    4) (   4,    4) (   4,    4) (   4,    4) (   5,    5) (   2,    1) (   3,    2) (   4,    4)
          (   7,    6) (   2,    1) (   3,    3) (   4,    4) (   3,    2) (   5,    5) (   2,    2) (   4,    3) (   3,    3) (   2,    2)
          (   3,    3) (   4,    4) (   4,    3) (   3,    2) (   4,    4) (   2,    2) (   3,    3) (   6,    6) (   3,    2) (   3,    3)
          (   4,    3) (   3,    3) (   4,    4) (   5,    5) (   5,    5) (   4,    4) (   6,    5) (   2,    2) (   3,    3) (   4,    3)
          (   5,    4) (   2,    2) (   3,    3) (   7,    7) (   3,    3) (   4,    4) (   3,    2) (   3,    3) (   5,    5) (   2,    2)
          (   5,    5) (   3,    3) (   2,    2) (   2,    2) (   3,    3) (   2,    2) (   5,    5) (   4,    4) (   3,    3) (   6,    6)
          (   4,    4) (   3,    3) (   5,    5) (   3,    2) (   3,    3) (   3,    3) (   4,    4) (   4,    4) (   3,    2) (   2,    2)
          (   6,    6) (   2,    2) (   2,    1) (   4,    4) (   3,    2) (   5,    5) (   4,    4) (   2,    2) (   3,    3) (   5,    5)
          (   6,    6) (   3,    3) (   2,    2) (   4,    3) (   2,    2) (   3,    3) (   3,    3) (   4,    4) (   4,    4) (   5,    5)
          (   6,    6) (   3,    3) (   4,    3) (   4,    4) (   4,    4) (   3,    3) (   7,    6) (   5,    4) (   3,    3) (   4,    4)
          (   2,    2) (   5,    4) (   3,    2) (   2,    2) (   5,    5) (   5,    5) (   3,    2) (   5,    4) (   5,    5) (   6,    5)
          (   3,    3) (   3,    3) (   3,    3) (   5,    5) (   4,    4) (   5,    5) (   3,    2) (   4,    4) (   6,    6) (   5,    5)
          (   2,    2) (   4,    4) (   4,    4) (   2,    2) (   3,    2) (   3,    3) (   3,    3) (   6,    6) (   6,    6) (   3,    3)
          (   3,    3) (   3,    3) (   2,    1) (   5,    5) (   3,    3) (   4,    3) (   4,    4) (   5,    5) (   4,    4) (   5,    5)
          (   3,    3) (   3,    3) (   5,    5) (   5,    5) (   4,    4) (   4,    3) (   4,    4) (   4,    4) (   5,    5) (   3,    3)
          (   3,    3) (   6,    5) (   4,    4) (   4,    3) (   3,    3) (   2,    2) (   4,    4) (   5,    5) (   5,    5) (   2,    1)
          (   5,    5) (   5,    4) (   4,    3) (   3,    2) (   5,    5) (   3,    3) (   4,    3) (   2,    2) (   3,    3) (   3,    3)
          (   3,    3) (   2,    2) (   3,    3) (   3,    3) (   4,    4) (   4,    4) (   3,    3) (   3,    3) (   4,    4) (   3,    3)
          (   4,    4) (   6,    6) (   4,    3) (   3,    3) (   5,    5) (   4,    4) (   4,    4) (   4,    4) (   3,    2) (   3,    3)
          (   6,    6) (   3,    3) (   2,    2) (   4,    4) (   3,    2) (   7,    6) (   4,    4) (   2,    2) (   3,    3) (   5,    5)
          (   7,    7) (   3,    3) (   3,    3) (   4,    4) (   4,    4) (   6,    6) (   4,    4) (   3,    3) (   4,    4) (   5,    4)
          (   2,    2) (   5,    4) (   2,    2) (   6,    6) (   4,    4) (   5,    5) (   5,    5) (   3,    3) (   4,    4) (   5,    5)
          (   3,    3) (   4,    4) (   3,    3) (   6,    6) (   3,    2) (   4,    4) (   5,    5) (   4,    4) (   5,    5) (   3,    3)
          (   4,    3) (   6,    6) (   5,    5) (   4,    4) (   2,    1) (   2,    2) (   5,    4) (   3,    3) (   6,    6) (   3,    3)
